Opcode	Name	Data length	Clock cycles	Description	Flags modified
0x2c	mov_ircrd_rc	1	3	Copies from location in the address space (full indirect addressing mode) to RC	-
0x2d	mov_ircrd_rd	1	3	Copies from location in the address space (full indirect addressing mode) to RD	-
0x2e	mov_cst_ircrd	2	4	Copies a constant to a location in the address space (full indirect addressing mode)	-
0x2f	mov_ra_abs	3	3	Copies RA to a location in the address space (absolute addressing mode)	-
0x30	mov_rb_abs	3	3	Copies RB to a location in the address space (absolute addressing mode)	-
0x31	mov_rc_abs	3	3	Copies RC to a location in the address space (absolute addressing mode)	-
0x32	mov_rd_abs	3	3	Copies RD to a location in the address space (absolute addressing mode)	-
0x33	mov_abs_ra	3	3	Copies from location in the address space (absolute addressing mode) to RA	-
0x34	mov_abs_rb	3	3	Copies from location in the address space (absolute addressing mode) to RB	-
0x35	mov_abs_rc	3	3	Copies from location in the address space (absolute addressing mode) to RC	-
0x36	mov_abs_rd	3	3	Copies from location in the address space (absolute addressing mode) to RD	-
0x37	mov_cst_abs	4	4	Copies a constant to a location in the address space (absolute addressing mode)	-
0x38	mov_datap_datap	3	4	Copies a location in the address space (data page addressing mode) to another location in the address space (data page addressing mode)	-
0x39	push_ra	1	2	Pushes RA onto the stack	-
0x3a	push_rb	1	2	Pushes RB onto the stack	-
0x3b	push_rc	1	2	Pushes RC onto the stack	-
0x3c	push_rd	1	2	Pushes RD onto the stack	-
0x3d	push_datap	2	4	Pushes a location in the address space (data page addressing mode) onto the stack	-
0x3e	push_ircrd	1	5	Pushes a location in the address space (full indirect addressing mode) onto the stack	-
0x3f	push_abs	3	5	Pushes a location in the address space (absolute addressing mode) onto the stack	-
0x40	push_cst	2	2	Pushes a constant onto the stack	-
0x41	pop_ra	1	1	Pops from the stack into RA	-
0x42	pop_rb	1	1	Pops from the stack into RB	-
0x43	pop_rc	1	1	Pops from the stack into RC	-
0x44	pop_rd	1	1	Pops from the stack into RD	-
0x45	pop_datap	2	3	Pops from the stack into a location in the address space (data page addressing mode)	-
0x46	pop_ircrd	1	4	Pops from the stack into a location in the address space (full indirect addressing mode)	-
0x47	pop_abs	3	4	Pops from the stack into a location in the address space (absolute addressing mode)	-
0x48	add_ra_ra	1	1	Adds RA to RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x49	add_ra_rb	1	1	Adds RB to RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x4a	add_ra_rc	1	1	Adds RC to RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x4b	add_ra_rd	1	1	Adds RD to RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x4c	add_rb_ra	1	1	Adds RA to RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x4d	add_rb_rb	1	1	Adds RB to RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x4e	add_rb_rc	1	1	Adds RC to RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x4f	add_rb_rd	1	1	Adds RD to RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x50	add_rc_ra	1	1	Adds RA to RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x51	add_rc_rb	1	1	Adds RB to RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x52	add_rc_rc	1	1	Adds RC to RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x53	add_rc_rd	1	1	Adds RD to RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x54	add_rd_ra	1	1	Adds RA to RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x55	add_rd_rb	1	1	Adds RB to RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x56	add_rd_rc	1	1	Adds RC to RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x57	add_rd_rd	1	1	Adds RD to RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x58	add_ra_cst	2	2	Adds a constant to RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x59	add_rb_cst	2	2	Adds a constant to RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x5a	add_rc_cst	2	2	Adds a constant to RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x5b	add_rd_cst	2	2	Adds a constant to RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x5c	add_datap_ra	2	3	Adds RA to a location in the address space (data page addressing mode), stores the result back in the given location, then updates the FLAGS accordingly	NZC
0x5d	add_datap_rb	2	3	Adds RB to a location in the address space (data page addressing mode), stores the result back in the given location, then updates the FLAGS accordingly	NZC
0x5e	add_datap_rc	2	3	Adds RC to a location in the address space (data page addressing mode), stores the result back in the given location, then updates the FLAGS accordingly	NZC
0x5f	add_datap_rd	2	3	Adds RD to a location in the address space (data page addressing mode), stores the result back in the address space (data page addressing mode), then updates the FLAGS accordingly	NZC
0x60	sub_ra_ra	1	1	Subtracts RA from RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x61	sub_ra_rb	1	1	Subtracts RB from RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x62	sub_ra_rc	1	1	Subtracts RC from RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x63	sub_ra_rd	1	1	Subtracts RD from RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x64	sub_rb_ra	1	1	Subtracts RA from RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x65	sub_rb_rb	1	1	Subtracts RB from RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x66	sub_rb_rc	1	1	Subtracts RC from RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x67	sub_rb_rd	1	1	Subtracts RD from RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x68	sub_rc_ra	1	1	Subtracts RA from RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x69	sub_rc_rb	1	1	Subtracts RB from RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x6a	sub_rc_rc	1	1	Subtracts RC from RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x6b	sub_rc_rd	1	1	Subtracts RD from RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x6c	sub_rd_ra	1	1	Subtracts RA from RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x6d	sub_rd_rb	1	1	Subtracts RB from RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x6e	sub_rd_rc	1	1	Subtracts RC from RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x6f	sub_rd_rd	1	1	Subtracts RD from RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x70	sub_ra_cst	2	2	Subtracts a constant from RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0x71	sub_rb_cst	2	2	Subtracts a constant from RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0x72	sub_rc_cst	2	2	Subtracts a constant from RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0x73	sub_rd_cst	2	2	Subtracts a constant from RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0x74	sub_datap_ra	2	3	Subtracts RA from a location in the address space (data page addressing mode), stores the result back in the given location, then updates the FLAGS accordingly	NZC
0x75	sub_datap_rb	2	3	Subtracts RD from a location in the address space (data page addressing mode), stores the result back in the given location, then updates the FLAGS accordingly	NZC
0x76	sub_datap_rc	2	3	Subtracts RC from a location in the address space (data page addressing mode), stores the result back in the given location, then updates the FLAGS accordingly	NZC
0x77	sub_datap_rd	2	3	Subtracts RD from a location in the address space (data page addressing mode), stores the result back in the given location, then updates the FLAGS accordingly	NZC
0x78	cmp_ra_ra	1	1	Compares RA to RA, then updates the FLAGS accordingly	NZC
0x79	cmp_ra_rb	1	1	Compares RA to RB, then updates the FLAGS accordingly	NZC
0x7a	cmp_ra_rc	1	1	Compares RA to RC, then updates the FLAGS accordingly	NZC
0x7b	cmp_ra_rd	1	1	Compares RA to RD, then updates the FLAGS accordingly	NZC
0x7c	cmp_rb_ra	1	1	Compares RB to RA, then updates the FLAGS accordingly	NZC
0x7d	cmp_rb_rb	1	1	Compares RB to RB, then updates the FLAGS accordingly	NZC
0x7e	cmp_rb_rc	1	1	Compares RB to RC, then updates the FLAGS accordingly	NZC
0x7f	cmp_rb_rd	1	1	Compares RB to RD, then updates the FLAGS accordingly	NZC
0x80	cmp_rc_ra	1	1	Compares RC to RA, then updates the FLAGS accordingly	NZC
0x81	cmp_rc_rb	1	1	Compares RC to RB, then updates the FLAGS accordingly	NZC
0x82	cmp_rc_rc	1	1	Compares RC to RC, then updates the FLAGS accordingly	NZC
0x83	cmp_rc_rd	1	1	Compares RC to RD, then updates the FLAGS accordingly	NZC
0x84	cmp_rd_ra	1	1	Compares RD to RA, then updates the FLAGS accordingly	NZC
0x85	cmp_rd_rb	1	1	Compares RD to RB, then updates the FLAGS accordingly	NZC
0x86	cmp_rd_rc	1	1	Compares RD to RC, then updates the FLAGS accordingly	NZC
0x87	cmp_rd_rd	1	1	Compares RD to RD, then updates the FLAGS accordingly	NZC
0x88	cmp_ra_cst	2	2	Compares RA to a constant, then updates the FLAGS accordingly	NZC
0x89	cmp_rb_cst	2	2	Compares RB to a constant, then updates the FLAGS accordingly	NZC
0x8a	cmp_rc_cst	2	2	Compares RC to a constant, then updates the FLAGS accordingly	NZC
0x8b	cmp_rd_cst	2	2	Compares RD to a constant, then updates the FLAGS accordingly	NZC
0x8c	cmp_datap_ra	2	3	Compares the given location in the address space (data page addressing mode) to RA, then updates the FLAGS accordingly	NZC
0x8d	cmp_datap_rb	2	3	Compares the given location in the address space (data page addressing mode) to RB, then updates the FLAGS accordingly	NZC
0x8e	cmp_datap_rc	2	3	Compares the given location in the address space (data page addressing mode) to RC, then updates the FLAGS accordingly	NZC
0x8f	cmp_datap_rd	2	3	Compares the given location in the address space (data page addressing mode) to RD, then updates the FLAGS accordingly	NZC
0x90	or_ra_ra	1	1	Performs a bitwise OR of RA and RA, stores the result back in RA, then updates the FLAGS accordingly	-
0x91	or_ra_rb	1	1	Performs a bitwise OR of RA and RB, stores the result back in RA, then updates the FLAGS accordingly	-
0x92	or_ra_rc	1	1	Performs a bitwise OR of RA and RC, stores the result back in RA, then updates the FLAGS accordingly	-
0x93	or_ra_rd	1	1	Performs a bitwise OR of RA and RD, stores the result back in RA, then updates the FLAGS accordingly	-
0x94	or_rb_ra	1	1	Performs a bitwise OR of RB and RA, stores the result back in RB, then updates the FLAGS accordingly	-
0x95	or_rb_rb	1	1	Performs a bitwise OR of RB and RB, stores the result back in RB, then updates the FLAGS accordingly	-
0x96	or_rb_rc	1	1	Performs a bitwise OR of RB and RC, stores the result back in RB, then updates the FLAGS accordingly	-
0x97	or_rb_rd	1	1	Performs a bitwise OR of RB and RD, stores the result back in RB, then updates the FLAGS accordingly	-
0x98	or_rc_ra	1	1	Performs a bitwise OR of RC and RA, stores the result back in RC, then updates the FLAGS accordingly	-
0x99	or_rc_rb	1	1	Performs a bitwise OR of RC and RB, stores the result back in RC, then updates the FLAGS accordingly	-
0x9a	or_rc_rc	1	1	Performs a bitwise OR of RC and RC, stores the result back in RC, then updates the FLAGS accordingly	-
0x9b	or_rc_rd	1	1	Performs a bitwise OR of RC and RD, stores the result back in RC, then updates the FLAGS accordingly	-
0x9c	or_rd_ra	1	1	Performs a bitwise OR of RD and RA, stores the result back in RD, then updates the FLAGS accordingly	-
0x9d	or_rd_rb	1	1	Performs a bitwise OR of RD and RB, stores the result back in RD, then updates the FLAGS accordingly	-
0x9e	or_rd_rc	1	1	Performs a bitwise OR of RD and RC, stores the result back in RD, then updates the FLAGS accordingly	-
0x9f	or_rd_rd	1	1	Performs a bitwise OR of RD and RD, stores the result back in RD, then updates the FLAGS accordingly	-
0xa0	or_ra_cst	2	2	Performs a bitwise OR of RA and a constant, stores the result back in RA, then updates the FLAGS accordingly	-
0xa1	or_rb_cst	2	2	Performs a bitwise OR of RB and a constant, stores the result back in RB, then updates the FLAGS accordingly	-
0xa2	or_rc_cst	2	2	Performs a bitwise OR of RC and a constant, stores the result back in RC, then updates the FLAGS accordingly	-
0xa3	or_rd_cst	2	2	Performs a bitwise OR of RD and a constant, stores the result back in RD, then updates the FLAGS accordingly	-
0xa4	or_datap_ra	2	3	Performs a bitwise OR of a location in the address space (data page addressing mode) and RA, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xa5	or_datap_rb	2	3	Performs a bitwise OR of a location in the address space (data page addressing mode) and RB, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xa6	or_datap_rc	2	3	Performs a bitwise OR of a location in the address space (data page addressing mode) and RC, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xa7	or_datap_rd	2	3	Performs a bitwise OR of a location in the address space (data page addressing mode) and RD, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xa8	and_ra_ra	1	1	Performs a bitwise AND of RA and RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xa9	and_ra_rb	1	1	Performs a bitwise AND of RA and RB, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xaa	and_ra_rc	1	1	Performs a bitwise AND of RA and RC, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xab	and_ra_rd	1	1	Performs a bitwise AND of RA and RD, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xac	and_rb_ra	1	1	Performs a bitwise AND of RB and RA, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xad	and_rb_rb	1	1	Performs a bitwise AND of RB and RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xae	and_rb_rc	1	1	Performs a bitwise AND of RB and RC, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xaf	and_rb_rd	1	1	Performs a bitwise AND of RB and RD, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xb0	and_rc_ra	1	1	Performs a bitwise AND of RC and RA, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xb1	and_rc_rb	1	1	Performs a bitwise AND of RC and RB, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xb2	and_rc_rc	1	1	Performs a bitwise AND of RC and RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xb3	and_rc_rd	1	1	Performs a bitwise AND of RC and RD, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xb4	and_rd_ra	1	1	Performs a bitwise AND of RD and RA, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xb5	and_rd_rb	1	1	Performs a bitwise AND of RD and RB, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xb6	and_rd_rc	1	1	Performs a bitwise AND of RD and RC, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xb7	and_rd_rd	1	1	Performs a bitwise AND of RD and RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xb8	and_ra_cst	2	2	Performs a bitwise AND of RA and a constant, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xb9	and_rb_cst	2	2	Performs a bitwise AND of RB and a constant, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xba	and_rc_cst	2	2	Performs a bitwise AND of RC and a constant, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xbb	and_rd_cst	2	2	Performs a bitwise AND of RD and a constant, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xbc	and_datap_ra	2	3	Performs a bitwise AND of a location in the address space (data page addressing mode) and RA, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xbd	and_datap_rb	2	3	Performs a bitwise AND of a location in the address space (data page addressing mode) and RB, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xbe	and_datap_rc	2	3	Performs a bitwise AND of a location in the address space (data page addressing mode) and RC, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xbf	and_datap_rd	2	3	Performs a bitwise AND of a location in the address space (data page addressing mode) and RD, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xc0	xor_ra_ra	1	1	Performs a bitwise XOR of RA and RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xc1	xor_ra_rb	1	1	Performs a bitwise XOR of RA and RB, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xc2	xor_ra_rc	1	1	Performs a bitwise XOR of RA and RC, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xc3	xor_ra_rd	1	1	Performs a bitwise XOR of RA and RD, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xc4	xor_rb_ra	1	1	Performs a bitwise XOR of RB and RA, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xc5	xor_rb_rb	1	1	Performs a bitwise XOR of RB and RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xc6	xor_rb_rc	1	1	Performs a bitwise XOR of RB and RC, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xc7	xor_rb_rd	1	1	Performs a bitwise XOR of RB and RD, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xc8	xor_rc_ra	1	1	Performs a bitwise XOR of RC and RA, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xc9	xor_rc_rb	1	1	Performs a bitwise XOR of RC and RB, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xca	xor_rc_rc	1	1	Performs a bitwise XOR of RC and RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xcb	xor_rc_rd	1	1	Performs a bitwise XOR of RC and RD, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xcc	xor_rd_ra	1	1	Performs a bitwise XOR of RD and RA, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xcd	xor_rd_rb	1	1	Performs a bitwise XOR of RD and RB, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xce	xor_rd_rc	1	1	Performs a bitwise XOR of RD and RC, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xcf	xor_rd_rd	1	1	Performs a bitwise XOR of RD and RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xd0	xor_ra_cst	2	2	Performs a bitwise XOR of RA and a constant, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xd1	xor_rb_cst	2	2	Performs a bitwise XOR of RB and a constant, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xd2	xor_rc_cst	2	2	Performs a bitwise XOR of RC and a constant, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xd3	xor_rd_cst	2	2	Performs a bitwise XOR of RD and a constant, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xd4	xor_datap_ra	2	3	Performs a bitwise XOR of a location in the address space (data page addressing mode) and RA, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xd5	xor_datap_rb	2	3	Performs a bitwise XOR of a location in the address space (data page addressing mode) and RB, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xd6	xor_datap_rc	2	3	Performs a bitwise XOR of a location in the address space (data page addressing mode) and RC, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xd7	xor_datap_rd	2	3	Performs a bitwise XOR of a location in the address space (data page addressing mode) and RD, stores the result back in the given location, then updates the FLAGS accordingly	NZC
0xd8	not_ra	1	1	Performs a bitwise NOT of RA, stores the result back in RA, then updates the FLAGS accordingly	NZC
0xd9	not_rb	1	1	Performs a bitwise NOT of RB, stores the result back in RB, then updates the FLAGS accordingly	NZC
0xda	not_rc	1	1	Performs a bitwise NOT of RC, stores the result back in RC, then updates the FLAGS accordingly	NZC
0xdb	not_rd	1	1	Performs a bitwise NOT of RD, stores the result back in RD, then updates the FLAGS accordingly	NZC
0xdc	not_datap	2	3	Performs a bitwise NOT of a location in the address space (page 0 addressing mode), stores the result back in the location, then updates the FLAGS accordingly	NZC
0xdd	inc_ra	1	1	Increments RA by 1, then updates the FLAGS accordingly	NZC
0xde	inc_rb	1	1	Increments RB by 1, then updates the FLAGS accordingly	NZC
0xdf	inc_rc	1	1	Increments RC by 1, then updates the FLAGS accordingly	NZC
0xe0	inc_rd	1	1	Increments RD by 1, then updates the FLAGS accordingly	NZC
0xe1	inc_datap	2	3	Increments a location in the address space (data page addressing mode) by 1, then updates the FLAGS accordingly	NZC
0xe2	dec_ra	1	1	Decrements RA by 1, then updates the FLAGS accordingly	NZC
0xe3	dec_rb	1	1	Decrements RB by 1, then updates the FLAGS accordingly	NZC
0xe4	dec_rc	1	1	Decrements RC by 1, then updates the FLAGS accordingly	NZC
0xe5	dec_rd	1	1	Decrements RD by 1, then updates the FLAGS accordingly	NZC
0xe6	dec_datap	2	3	Decrements a location in the address space (data page addressing mode) by 1, then updates the FLAGS accordingly	NZC
0xe7	shl_ra	1	1	Performs a left bitwise shift of RA by 1 bit	-
0xe8	shr_ra	1	1	Performs a right bitwise shift of RA by 1 bit	-
0xe9	swap_ra_rb	1	3	Swaps the values of RA and RB	-
0xea	swap_ra_rc	1	3	Swaps the values of RA and RC	-
0xeb	swap_ra_rd	1	3	Swaps the values of RA and RD	-
0xec	swap_rb_rc	1	3	Swaps the values of RB and RC	-
0xed	swap_rb_rd	1	3	Swaps the values of RB and RD	-
0xee	swap_rc_rd	1	3	Swaps the values of RC and RD	-
0xef	jc_cst	2	3	Jumps to the given short address (same code segment) if the carry flag is set	-
0xf0	jn_cst	2	3	Jumps to the given short address (same code segment) if the negative flag is set	-
0xf1	jz_cst	2	3	Jumps to the given short address (same code segment) if the zero flag is set	-
0xf2	goto_cst	2	3	Jumps to the given short address (same code segment)	-
0xf3	ljc_dcst	3	4	Jumps to the given long address if the carry flag is set	-
0xf4	ljn_dcst	3	4	Jumps to the given long address if the negative flag is set	-
0xf5	ljz_dcst	3	4	Jumps to the given long address if the zero flag is set	-
0xf6	lgoto_dcst	3	4	Jumps to the given long address	-
0xf7	lgoto_rcrd	1	4	Jumps to the long address specified by RC:RD	-
0xf8	lcall_dcst	3	6	Calls the given long address	-
0xf9	lcall_rcrd	1	6	Calls the long address specified by RC:RD	-
0xfa	ret	1	4	Returns from a call	-
0xfb	iret	1	5	Returns from an interrupt	-
0xfc	cid	1	1	Clears the interrupt disable flag	I
0xfd	sid	1	1	Sets the interrupt disable flag	I
0xfe	clc	1	1	Clears the carry flag	C
0xff	sec	1	1	Sets the carry flag	C
